[5:46:19 AM] | User: chanmenme2 | Link: https://www.youtube.com/watch?v=UY4ENgeMtY4&t=18s | Status: success
[5:49:15 AM] | User: chanmenme2 | Link: https://www.youtube.com/watch?v=UY4ENgeMtY4&t=26s | Status: success
[5:49:25 AM] | User: chanmenme2 | Link: https://www.youtube.com/watch?v=4pLNKvC35tc | Status: success
[5:49:40 AM] | User: chanmenme2 | Link: https://www.youtube.com/watch?v=_90myPExB_w | Status: success
[5:49:51 AM] | User: chanmenme2 | Link: https://www.youtube.com/watch?v=YLt73w6criQ | Status: success
[11:16:19 AM] | User: chanmenme2 | Link: https://www.youtube.com/shorts/Au5NDuer4o0 | Status: success
[11:16:29 AM] | User: chanmenme2 | Link: https://www.youtube.com/shorts/iDSpIzKzLJ4 | Status: success
[8:53:17 PM] | User: usernamegoogle | Link: https://www.youtube.com/watch?v=YudHcBIxlYw | Status: success
[8:57:29 PM] | User: usernamegoogle | Link: https://www.youtube.com/watch?v=YudHcBIxlYw | Status: success
